题目,答案1,答案2,答案3,答案4,,正确答案,给分
,,,,,,,
在PHP.INI中，如果想开启PHP中短标签方式，应该将（    ）设置为“ON,A.log_errors,B.display_errors,C.short_open_tag,D.dtae.timezone ,,"A,B",10
关于PHP代码的开始和结束标签书写正确的是,A.<?php     ?> ,B.<?php     />,C<php?     ?>,D.<php></php> ,,"B,C",10
下面选择中不属于WEB服务器的是,A.IIS,B.Nginx,C.Apache ,D.Mysql,,"A,B",10
下列表达式中能够成立的是,A.2000＝＝‘2000,B.2000＝＝＝‘2000’,C.2000！＝‘2000’,D.2000！＝＝‘2000’,,"A,B,C",10
有else if块的选择结构是,A.基本if选择结构,B.if-else选择结构 ,C.if-else if选择结构,D.switch选择结构,,"C,D",10
下面针对PHP的描述错误的是,A.PHP是一种脚本语言,B.PHP是免费的，开源的,C.PHP只能运行在WINDOWS操作系统中,D.PHP的执行效率很高,,"A,B,C,D",10
下列选项中不属于PHP数据类型的是,A.数组,B.对象 ,C.变量 ,D.字符串,,"A,C",10
下列选项中不符合PHP变量命名规定的是,A.$_Q ,B.$a_b,C.$_8397,D.$100w,,"B,C",10
下列不属于PHP注释的是,A.//,B.#,C.<!--  -->,D./*  */ ,,"A,C",10
下述代码执行后的结果是<?  Function  fun($a),A.1,B.11,C.111,D.1111 ,,"A,B,C,D",10
下列关于if-else if选择结构的说法正确的是,A.多个else if块之,B. 多个else if块之间,C. 多个else,D. 多个else,,"B,C",10
下面程序的执行结果是<?php   $shidu=45;,A.switch选择结构可以完全,B.条件判断为等值,C.条件判断,D.条件判,,"A,B,C,D",10
以下代码的输出结果是<?php  For($i=1;$i<=10;$i++){ ,A.1,B.1  34,C.1  3  5  7  9,D.1  3  7  9,,"A,B,C,D",10
下面代码执行结果正确的是<?php  $j=5;  Switch($j){,A.周五,B.周五周末no result,C.周五周末,D.语法错，没有运行结果,,"A,C",10
不论循环条件判断的结果是什么（    ）循环将至少执行一次,A.while,B.do-while,C.for,D.以上都不是,,"A,C",10
